Country,State,County,Population,Metropolitan Area
United States,South Dakota,Brown,37907,"Aberdeen, SD"
United States,South Dakota,Edmunds,4041,"Aberdeen, SD"
United States,Washington,Grays Harbor,71078,"Aberdeen, WA"
United States,Texas,Callahan,13525,"Abilene, TX"
United States,Texas,Jones,19859,"Abilene, TX"
United States,Texas,Taylor,134117,"Abilene, TX"
United States,Oklahoma,Pontotoc,37992,"Ada, OK"
United States,Michigan,Lenawee,99188,"Adrian, MI"
United States,Puerto Rico,Aguada Municipality,41959,Aguadilla-Isabela-San Sebastián metropolitan area
United States,Puerto Rico,Aguadilla Municipality,54582,Aguadilla-Isabela-San Sebastián metropolitan area
United States,Puerto Rico,Añasco Municipality,29261,Aguadilla-Isabela-San Sebastián metropolitan area
United States,Puerto Rico,Isabela Municipality,45631,Aguadilla-Isabela-San Sebastián metropolitan area
United States,Puerto Rico,Lares Municipality,30753,Aguadilla-Isabela-San Sebastián metropolitan area
United States,Puerto Rico,Moca Municipality,40109,Aguadilla-Isabela-San Sebastián metropolitan area
United States,Puerto Rico,Rincón Municipality,15200,Aguadilla-Isabela-San Sebastián metropolitan area
United States,Puerto Rico,San Sebastián Municipality,42430,Aguadilla-Isabela-San Sebastián metropolitan area
United States,Ohio,Portage,163862,"Akron, OH"
United States,Ohio,Summit,541824,"Akron, OH"
United States,New Mexico,Otero,65616,"Alamogordo, NM"
United States,New York,Albany,306945,"Albany-Schenectady-Troy, NY"
United States,New York,Rensselaer,159918,"Albany-Schenectady-Troy, NY"
United States,New York,Saratoga,223865,"Albany-Schenectady-Troy, NY"
United States,New York,Schenectady,155333,"Albany-Schenectady-Troy, NY"
United States,New York,Schoharie,31844,"Albany-Schenectady-Troy, NY"
United States,Georgia,Baker,3341,"Albany, GA"
United States,Georgia,Dougherty,92969,"Albany, GA"
United States,Georgia,Lee,29071,"Albany, GA"
United States,Georgia,Terrell,9022,"Albany, GA"
United States,Georgia,Worth,21291,"Albany, GA"
United States,Oregon,Linn,118765,"Albany, OR"
United States,North Carolina,Stanly,60635,"Albemarle, NC"
United States,Minnesota,Freeborn,30948,"Albert Lea, MN"
United States,Alabama,Marshall,94760,"Albertville, AL"
United States,New Mexico,Bernalillo,674221,"Albuquerque, NM"
United States,New Mexico,Sandoval,136575,"Albuquerque, NM"
United States,New Mexico,Torrance,15717,"Albuquerque, NM"
United States,New Mexico,Valencia,76284,"Albuquerque, NM"
United States,Louisiana,Grant,22030,"Alexandria, LA"
United States,Louisiana,Rapides,132723,"Alexandria, LA"
United States,Minnesota,Douglas,36545,"Alexandria, MN"
United States,Texas,Jim Wells,41680,"Alice, TX"
United States,New Jersey,Warren,107379,"Allentown-Bethlehem-Easton, PA-NJ"
United States,Pennsylvania,Carbon,64786,"Allentown-Bethlehem-Easton, PA-NJ"
United States,Pennsylvania,Lehigh,355092,"Allentown-Bethlehem-Easton, PA-NJ"
United States,Pennsylvania,Northampton,299791,"Allentown-Bethlehem-Easton, PA-NJ"
United States,Michigan,Gratiot,41968,"Alma, MI"
United States,Michigan,Alpena,29091,"Alpena, MI"
