age,fatalityRate,,,,,,
0,0.000,,,,,,
1,0.000,,,,,,
2,0.000,,,,,,
3,0.000,,,,,,
4,0.000,,,,,,
5,0.000,,,,,,
6,0.000,,,,,,
7,0.000,,,,,,
8,0.000,,,,,,
9,0.000,,,,,,
10,0.000,,,,,,
11,0.001,,,,,,
12,0.001,,,,,,
13,0.001,,,,,,
14,0.002,,,,,,
15,0.002,,,,,,
16,0.002,,,,,,
17,0.002,,,,,,
18,0.002,,,,,,
19,0.002,,,,,,
20,0.002,,,,,,
21,0.002,,,,,,
22,0.002,,,,,,
23,0.002,,,,,,
24,0.002,,,,,,
25,0.002,,,,,,
26,0.002,,,,,,
27,0.002,,,,,,
28,0.002,,,,,,
29,0.002,,,,,,
30,0.002,,,,,,
31,0.002,,,,,,
32,0.002,,,,,,
33,0.002,,,,,,
34,0.002,,,,,,
35,0.002,,,,,,
36,0.002,,,,,,
37,0.002,,,,,,
38,0.003,,,,,,
39,0.003,,,,,,
40,0.003,,,,,,
41,0.003,,,,,,
42,0.003,,,,,,
43,0.004,,,,,,
44,0.004,,,,,,
45,0.004,,,,,,
46,0.005,,,,,,
47,0.006,,,,,,
48,0.007,,,,,,
49,0.008,,,,,,
50,0.009,,,,,,
51,0.009,,,,,,
52,0.010,,,,,,
53,0.011,,,,,,
54,0.012,,,,,,
55,0.013,,,,,,
56,0.015,,,,,,
57,0.018,,,,,,
58,0.020,,,,,,
59,0.023,,,,,,
60,0.025,,,,,,
61,0.027,,,,,,
62,0.030,,,,,,
63,0.032,,,,,,
64,0.035,,,,,,
65,0.036,,,,,,
66,0.040,,,,,,
67,0.045,,,,,,
68,0.049,,,,,,
69,0.054,,,,,,
70,0.058,,,,,,
71,0.062,,,,,,
72,0.067,,,,,,
73,0.071,,,,,,
74,0.076,,,,,,
75,0.080,,,,,,
76,0.087,,,,,,
77,0.094,,,,,,
78,0.100,,,,,,
79,0.107,,,,,,
80,0.114,,,,,,
81,0.121,,,,,,
82,0.128,,,,,,
83,0.134,,,,,,
84,0.141,,,,,,
85,0.148,,,,,,
86,0.154,,,,,,
87,0.160,,,,,,
88,0.166,,,,,,
89,0.172,,,,,,
90,0.178,,,,,,
91,0.184,,,,,,
92,0.190,,,,,,
93,0.196,,,,,,
94,0.202,,,,,,
95,0.208,,,,,,
96,0.214,,,,,,
97,0.220,,,,,,
98,0.226,,,,,,
99,0.232,,,,,,
100,0.238,,,,,,
101,0.244,,,,,,
102,0.250,,,,,,
103,0.256,,,,,,
104,0.262,,,,,,
105,0.268,,,,,,
106,0.274,,,,,,
107,0.280,,,,,,
108,0.286,,,,,,
109,0.292,,,,,,
110,0.298,,,,,,
111,0.304,,,,,,
112,0.310,,,,,,
113,0.316,,,,,,
114,0.322,,,,,,
115,0.328,,,,,,
116,0.334,,,,,,
117,0.340,,,,,,
118,0.346,,,,,,
119,0.352,,,,,,
